2014-03-24 13:34:13,234 check this out
2014-03-24 13:34:13,317 tap32de7143-50,0
2014-03-24 13:34:13,317 tap3c739df5-91,0
2014-03-24 13:34:13,318 tap8c2ee4a9-10,0
2014-03-24 13:34:14,354 tap32de7143-50,0
2014-03-24 13:34:14,355 tap3c739df5-91,0
2014-03-24 13:34:14,355 tap8c2ee4a9-10,0
2014-03-24 13:34:15,394 tap32de7143-50,0
2014-03-24 13:34:15,395 tap3c739df5-91,0
2014-03-24 13:34:15,395 tap8c2ee4a9-10,0
2014-03-24 13:34:16,425 tap32de7143-50,0
2014-03-24 13:34:16,426 tap3c739df5-91,0
2014-03-24 13:34:16,426 tap8c2ee4a9-10,0
2014-03-24 13:34:17,465 tap32de7143-50,0
2014-03-24 13:34:17,466 tap3c739df5-91,0
2014-03-24 13:34:17,466 tap8c2ee4a9-10,0
2014-03-24 13:34:18,501 tap32de7143-50,0
2014-03-24 13:34:18,502 tap3c739df5-91,0
2014-03-24 13:34:18,502 tap8c2ee4a9-10,0
2014-03-24 13:34:19,538 tap32de7143-50,0
2014-03-24 13:34:19,538 tap3c739df5-91,0
2014-03-24 13:34:19,538 tap8c2ee4a9-10,0
2014-03-24 13:34:20,575 tap32de7143-50,0
2014-03-24 13:34:20,575 tap3c739df5-91,0
2014-03-24 13:34:20,575 tap8c2ee4a9-10,0
2014-03-24 13:34:21,614 tap32de7143-50,0
2014-03-24 13:34:21,614 tap3c739df5-91,0
2014-03-24 13:34:21,614 tap8c2ee4a9-10,1120
2014-03-24 13:34:22,651 tap32de7143-50,0
2014-03-24 13:34:22,651 tap3c739df5-91,0
2014-03-24 13:34:22,651 tap8c2ee4a9-10,1120
2014-03-24 13:34:23,691 tap32de7143-50,0
2014-03-24 13:34:23,692 tap3c739df5-91,0
2014-03-24 13:34:23,692 tap8c2ee4a9-10,784
2014-03-24 13:34:24,718 tap32de7143-50,0
2014-03-24 13:34:24,719 tap3c739df5-91,0
2014-03-24 13:34:24,719 tap8c2ee4a9-10,784
2014-03-24 13:34:25,758 tap32de7143-50,0
2014-03-24 13:34:25,758 tap3c739df5-91,0
2014-03-24 13:34:25,758 tap8c2ee4a9-10,784
2014-03-24 13:34:26,799 tap32de7143-50,0
2014-03-24 13:34:26,799 tap3c739df5-91,0
2014-03-24 13:34:26,799 tap8c2ee4a9-10,1120
